movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
587,Jurassic World: Fallen Kingdom,PG-13,170000000,1309000000,2018-05-21,Action,128,,,
588,Ralph Breaks the Internet,PG,175000000,529300000,2018-11-05,Animation,112,,,
589,Mission: Impossible - Fallout,PG-13,178000000,791100000,2018-07-12,Action,147,,,
590,Ant-Man and the Wasp,PG-13,195000000,622700000,2018-06-25,Action,118,,,
591,Black Panther,PG-13,200000000,1347000000,2018-01-29,Action,134,,,
592,Incredibles 2,PG,200000000,1242000000,2018-06-05,Animation,118,,,
593,Fantanstic Beasts: The Crimes of Grindelwald,PG-13,200000000,653800000,2018-11-08,Fantasy,134,,,
594,Solo: A Star Wars Story,PG-13,275000000,392900000,2018-05-10,Science Fiction,135,,,
595,Avengers: Infinity War,PG-13,400000000,2048000000,2018-04-23,Action,149,,,
596,Glass,PG-13,20000000,247000000,2019-01-12,Thriller,129,,,
597,Us,R,20000000,255100000,2019-03-08,Horror,116,,,
598,The Upside,PG-13,37500000,122800000,2019-01-11,Comedy,126,,,
599,John Wick: Chapter 3 - Parabellum,R,75000000,321700000,2019-05-09,Thriller,131,,,
600,It: Chapter Two,R,79000000,394000000,2019-08-26,Horror,169,,,
601,The Secret Life of Pets 2,PG,80000000,429400000,2019-05-24,Animation,86,,,
602,Once Upon a Time in Hollywood,R,96000000,345900000,2019-05-21,Comedy,161,,,
603,The LEGO Movie 2: The Second Part,PG,99000000,191300000,2019-02-07,Animation,107,,,
604,Shazam!,PG-13,100000000,365000000,2019-03-15,Action,132,,,
605,How to Train Your Dragon: The Hidden World,PG,129000000,519900000,2019-01-03,Animation,104,,,
606,Pokemon Detective Pikachu,PG,150000000,431600000,2019-05-03,Mystery,104,,,
607,Spider-Man: Far from Home,PG-13,160000000,1131000000,2019-06-26,Action,129,,,
608,Dumbo,PG,170000000,353000000,2019-03-11,Adventure,112,,,
609,Captain Marvel,PG-13,175000000,1128000000,2019-02-27,Action,124,,,
610,Aladdin,PG,183000000,1049000000,2019-05-08,Fantasy,128,,,
611,Godzilla: King of the Monsters,PG-13,200000000,385900000,2019-05-13,Adventure,132,,,
612,Toy Story 4,G,200000000,1062000000,2019-06-11,Animation,100,,,
613,Fast & Furious Presents: Hobbs & Shaw,PG-13,200000000,759400000,2019-07-13,Thriller,136,,,
614,The Lion King,PG,250000000,1632000000,2019-07-09,Drama,118,,,
615,Avengers: Endgame,PG-13,356000000,2796000000,2019-04-22,Action,181,,,
0,,,,,,,,,,
